"WB";"Period";"scenario";"Biological";"Supporting";"EQR";"Status";"Worst_Biological";"Worst_Supporting"
"0101020200-1-C";"2017-2019";"DINTSM100pc";0.854871327646944;0.856465402802085;0.854871327646944;"High";"Planteplankton";"Oksygen"
"0101020200-1-C";"2017-2019";"NTSM100pc";0.867512189289666;0.85774231066175;0.867512189289666;"High";"Planteplankton";"Oksygen"
"0101020200-1-C";"2017-2019";"Scenario A";0.945953476053911;0.792571105557831;0.792571105557831;"Good";"Planteplankton";"Oksygen"
"0101020200-1-C";"2017-2019";"Scenario B";0.946565437954622;0.813466545854938;0.946565437954622;"High";"Planteplankton";"Oksygen"
"0101020200-2-C";"2017-2019";"baseline";0.753064976350157;0.786536581246779;0.753064976350157;"Good";"Planteplankton";"Oksygen"
"0101020200-2-C";"2017-2019";"DIN100pc";0.767057073111272;0.862637972141933;0.767057073111272;"Good";"Planteplankton";"Oksygen"
"0101020200-2-C";"2017-2019";"DINP100pc";0.767906800174538;0.867904882302101;0.767906800174538;"Good";"Planteplankton";"Oksygen"
"0101020200-2-C";"2017-2019";"DINTSM100pc";0.778352863964399;0.873700499152616;0.778352863964399;"Good";"Planteplankton";"Oksygen"
"0101020200-2-C";"2017-2019";"NTSM100pc";0.788693901164043;0.874650000745555;0.788693901164043;"Good";"Planteplankton";"Oksygen"
"0101020200-2-C";"2017-2019";"Scenario A";0.852441979890167;0.799965503957649;0.799965503957649;"Good";"Planteplankton";"Oksygen"
"0101020200-2-C";"2017-2019";"Scenario B";0.855740254431078;0.821983717882467;0.855740254431078;"High";"Planteplankton";"Oksygen"
"0101020300-1-C";"2017-2019";"baseline";0.775929901476028;0.7588027224488;0.775929901476028;"Good";"Planteplankton";"Oksygen"
"0101020300-1-C";"2017-2019";"DIN100pc";0.784506253695102;0.850666248015766;0.784506253695102;"Good";"Planteplankton";"Oksygen"
"0101020300-1-C";"2017-2019";"DINP100pc";0.785176901890033;0.856423409706087;0.785176901890033;"Good";"Planteplankton";"Oksygen"
"0101020300-1-C";"2017-2019";"DINTSM100pc";0.79968468065747;0.862750466093603;0.79968468065747;"Good";"Planteplankton";"Oksygen"
"0101020300-1-C";"2017-2019";"NTSM100pc";0.843102514047189;0.864710468326439;0.843102514047189;"High";"Planteplankton";"Oksygen"
"0101020300-1-C";"2017-2019";"Scenario A";0.888575557504712;0.770479407241531;0.770479407241531;"Good";"Planteplankton";"Oksygen"
"0101020300-1-C";"2017-2019";"Scenario B";0.894704286203954;0.793018297361217;0.793018297361217;"Good";"Planteplankton";"Oksygen"
"0101020300-2-C";"2017-2019";"baseline";0.894828903700997;0.730978234609311;0.730978234609311;"Good";"Planteplankton";"Oksygen"
